ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/93678,"Isidore, of Seville, Saint, -636",http://n2t.net/ark:/99166/w6d50skd,failure,https://testarchivesspace.library.yale.edu/agents/agent_person/93678
/agents/people/69398,Virgil,http://n2t.net/ark:/99166/w6tr8912,failure,https://testarchivesspace.library.yale.edu/agents/agent_person/69398
/agents/people/58511,"Abad y Queipo, Manuel, 1751-1825",http://n2t.net/ark:/99166/w65b2f6n,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58511
/agents/people/56488,"Abbe, Cleveland, 1838-1916",http://n2t.net/ark:/99166/w6010sb5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/56488
/agents/people/78647,"Abbe, Cleveland, 1872-1934",http://n2t.net/ark:/99166/w67j28rf,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78647
/agents/people/81420,"Abbe, James Edward, 1883-1973",http://n2t.net/ark:/99166/w6f76jvc,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/81420
/agents/people/56783,"Abbot, Charles, Baron Colchester, 1757-1829",http://n2t.net/ark:/99166/w62z1hn6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/56783
/agents/people/73256,"Abbot, Edward Stanley, 1841-1863",http://n2t.net/ark:/99166/w6fr2khz,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73256
/agents/people/57471,"Abbot, Edwin Hale, 1834-1927",http://n2t.net/ark:/99166/w6r79gh0,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/57471
/agents/people/86411,"Abbot, Ezra, 1819-1884",http://n2t.net/ark:/99166/w61r8876,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86411
/agents/people/68928,"Abbot, Francis Ellingwood, 1836-1903",http://n2t.net/ark:/99166/w65b07q4,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/68928
/agents/people/73231,"Abbot, Henry L.",http://n2t.net/ark:/99166/w6p66cpw,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73231
/agents/people/69279,"Abbot, Jos. Hale (Joseph Hale), 1802-1873",http://n2t.net/ark:/99166/w6z639w3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/69279
/agents/people/58334,"Abbot, Philip Stanley, 1867-1896",http://n2t.net/ark:/99166/w6185m07,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58334
/agents/people/75688,"Abbott, Benjamin Vaughan, 1830-1890",http://n2t.net/ark:/99166/w62f8m5n,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/75688
/agents/people/61470,"Abbott, Gorham D., 1807-1874",http://n2t.net/ark:/99166/w6gr02tb,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/61470
/agents/people/66160,"Abbott, Jacob, 1803-1879",http://n2t.net/ark:/99166/w6gv6c69,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/66160
/agents/people/77693,"Abbott, Leonard Dalton, 1878-1953",http://n2t.net/ark:/99166/w6xw4mvb,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77693
/agents/people/76027,"Abbott, Lyman, 1835-1922",http://n2t.net/ark:/99166/w6p849bh,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76027
/agents/people/82438,"Abbott, Maude E. (Maude Elizabeth), 1869-1940",http://n2t.net/ark:/99166/w6184dh3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82438
/agents/people/89029,"Abel, Lionel",http://n2t.net/ark:/99166/w6s7880q,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/89029
/agents/people/78393,"Abell, Arthur M.",http://n2t.net/ark:/99166/w6gx62xp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78393
/agents/people/79009,"Abell, Millicent D.",http://n2t.net/ark:/99166/w6s766qj,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79009
/agents/people/86105,"Abell, Truman, 1779-1853",http://n2t.net/ark:/99166/w6x95xmf,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86105
/agents/people/86543,"Abernethy, Alexander S. (Alexander Smith)",http://n2t.net/ark:/99166/w68p66hp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/86543
/agents/people/73693,"Abernethy, George, 1807-1877",http://n2t.net/ark:/99166/w6902dc8,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73693
/agents/people/60788,"Abingdon, Willoughby Bertie, Earl of, 1740-1799",http://n2t.net/ark:/99166/w6902pxr,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60788
/agents/people/61552,"Abraham, Charles John, 1814-1903",http://n2t.net/ark:/99166/w6vq4c4p,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/61552
/agents/people/59863,"Abram, Morris B.",http://n2t.net/ark:/99166/w6v989bx,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/59863
/agents/people/82048,"Abrams, Floyd",http://n2t.net/ark:/99166/w6j10pk1,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82048
/agents/people/88290,"Abramson, Ben",http://n2t.net/ark:/99166/w64q82hw,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88290
/agents/people/90081,"Abramson, Harold A. (Harold Alexander), 1899-1980",http://n2t.net/ark:/99166/w6057kc5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/90081
/agents/people/69465,"Abrantès, Laure Junot, duchesse d', 1784-1838",http://n2t.net/ark:/99166/w68g9fg6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/69465
/agents/people/79457,"Abt, John J.",http://n2t.net/ark:/99166/w6817smw,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/79457
/agents/people/80554,"Acheson, Edward, 1902-1966",http://n2t.net/ark:/99166/w63b89hp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/80554
/agents/people/62159,"Acheson, Roy M., 1921-2003",http://n2t.net/ark:/99166/w6fz1cxj,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/62159
/agents/people/69283,"Achillini, Claudio, 1574-1640",http://n2t.net/ark:/99166/w6mg889m,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/69283
/agents/people/84588,"Achron, Isidor, 1892-1948",http://n2t.net/ark:/99166/w6q25g4h,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/84588
/agents/people/73690,"Ackerknecht, Erwin, 1880-1960",http://n2t.net/ark:/99166/w6sv01j5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73690
/agents/people/63172,"Ackerman, Carl W. (Carl William), 1890-1970",http://n2t.net/ark:/99166/w6z32jkj,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/63172
/agents/people/62395,"Ackerman, Nathan W. (Nathan Ward), 1908-1971",http://n2t.net/ark:/99166/w6bw1k8w,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/62395
/agents/people/77553,"Ackté, Aino, 1876-1944",http://n2t.net/ark:/99166/w6zs2v0j,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77553
/agents/people/82169,"Acton, Harold, 1904-1994",http://n2t.net/ark:/99166/w65r5m9b,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82169
/agents/people/89326,"Acton, John Emerich Edward Dalberg Acton, Baron, 1834-1902",http://n2t.net/ark:/99166/w6qc0dm5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/89326
/agents/people/81011,"Adam, Helen, 1909-1993",http://n2t.net/ark:/99166/w60v8ztt,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/81011
/agents/people/76860,"Adams, Alexander B.",http://n2t.net/ark:/99166/w6sx8rjk,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76860
/agents/people/87676,"Adams, Andrew, 1736-1797",http://n2t.net/ark:/99166/w65q5p9t,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87676
/agents/people/73103,"Adams, Ansel, 1902-1984",http://n2t.net/ark:/99166/w67b4ts6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73103
/agents/people/78118,"Adams, Brooks, 1848-1927",http://n2t.net/ark:/99166/w6j10gd9,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78118
/agents/people/71289,"Adams, Charles Francis, 1807-1886",http://n2t.net/ark:/99166/w60q1q1k,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/71289
/agents/people/76029,"Adams, Charles Francis, 1835-1915",http://n2t.net/ark:/99166/w6xq7w0v,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76029
/agents/people/69064,"Adams, Charles L.",http://n2t.net/ark:/99166/w6kx8672,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/69064
/agents/people/76745,"Adams, Donald Keith, 1902-1971",http://n2t.net/ark:/99166/w69w0qgj,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76745
/agents/people/87287,"Adams, Elbridge L., 1866-",http://n2t.net/ark:/99166/w68h69t7,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/87287
/agents/people/67635,"Adams, Eliphalet, 1677-1753",http://n2t.net/ark:/99166/w6jh45k5,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/67635
/agents/people/73854,"Adams, Franklin P. (Franklin Pierce), 1881-1960",http://n2t.net/ark:/99166/w63r0zfr,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73854
/agents/people/58069,"Adams, Frederick B. (Frederick Baldwin), 1910-2001",http://n2t.net/ark:/99166/w6b85kxq,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58069
/agents/people/82676,"Adams, George Burton, 1851-1925",http://n2t.net/ark:/99166/w66m3n9x,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/82676
/agents/people/91439,"Adams, Hannah, 1755-1831",http://n2t.net/ark:/99166/w63n2bbp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/91439
/agents/people/60400,"Adams, J. Donald (James Donald), 1891-1968",http://n2t.net/ark:/99166/w6765h4z,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60400
