aspace_uri,agent_name,loc_uri,snac_ark_old,snac_ark_old.1,snac_ark_new,aspace_error,snac_error,snac_ark_merged,additional_authorities,authority_1,authority_2,authority_3,authority_4,authority_5,authority_6,authority_7,authority_8,authority_9,authority_10,authority_11,authority_12,authority_13,snac_ark_final
/agents/people/56858,"Rops, Félicien, 1833-1898",http://id.loc.gov/authorities/names/n50075855,http://n2t.net/ark:/99166/w6db8c7q,,,True,False,False,"['http://viaf.org/viaf/34462421', 'http://en.wikipedia.org/wiki/F%C3%A9licien_Rops', 'http://www.worldcat.org/wcidentities/lccn-n50075855', 'http://id.loc.gov/authorities/names/n50075855']",http://viaf.org/viaf/34462421,http://en.wikipedia.org/wiki/F%C3%A9licien_Rops,http://www.worldcat.org/wcidentities/lccn-n50075855,http://id.loc.gov/authorities/names/n50075855,,,,,,,,,,http://n2t.net/ark:/99166/w6db8c7q
/agents/people/56893,"Walpole, Robert, Earl of Orford, 1676-1745",http://id.loc.gov/authorities/names/n50024509,http://n2t.net/ark:/99166/w6gb298p,,,True,False,False,"['http://viaf.org/viaf/98289961', 'http://en.wikipedia.org/wiki/Robert_Walpole', 'http://www.worldcat.org/wcidentities/lccn-n50024509', 'http://id.loc.gov/authorities/names/n50024509']",http://viaf.org/viaf/98289961,http://en.wikipedia.org/wiki/Robert_Walpole,http://www.worldcat.org/wcidentities/lccn-n50024509,http://id.loc.gov/authorities/names/n50024509,,,,,,,,,,http://n2t.net/ark:/99166/w6gb298p
/agents/people/58304,"Nordlinger, Marie, 1876-1961",http://id.loc.gov/authorities/names/nb99017005,http://n2t.net/ark:/99166/w6ms7w6f,,,True,False,False,"['http://viaf.org/viaf/36907032', 'http://www.worldcat.org/wcidentities/lccn-nb99017005', 'http://id.loc.gov/authorities/names/nb99017005']",http://viaf.org/viaf/36907032,http://www.worldcat.org/wcidentities/lccn-nb99017005,http://id.loc.gov/authorities/names/nb99017005,,,,,,,,,,,http://n2t.net/ark:/99166/w6ms7w6f
/agents/people/58600,"Tennant, Stephen",http://id.loc.gov/authorities/names/n91052098,http://n2t.net/ark:/99166/w6dg9hbg,,,True,False,False,"['http://viaf.org/viaf/73032645', 'http://www.worldcat.org/wcidentities/lccn-n91-052098', 'http://id.loc.gov/authorities/names/n91052098', 'http://en.wikipedia.org/wiki/Stephen_Tennant']",http://viaf.org/viaf/73032645,http://www.worldcat.org/wcidentities/lccn-n91-052098,http://id.loc.gov/authorities/names/n91052098,http://en.wikipedia.org/wiki/Stephen_Tennant,,,,,,,,,,http://n2t.net/ark:/99166/w6dg9hbg
/agents/people/60110,"Bartlett, Paul Wayland, 1865-1925",http://id.loc.gov/authorities/names/n94028779,http://n2t.net/ark:/99166/w6q54v0x,,,True,False,False,"['http://viaf.org/viaf/24873594', 'http://www.worldcat.org/wcidentities/lccn-n94028779', 'http://id.loc.gov/authorities/names/n94028779', 'http://en.wikipedia.org/wiki/Paul_Wayland_Bartlett']",http://viaf.org/viaf/24873594,http://www.worldcat.org/wcidentities/lccn-n94028779,http://id.loc.gov/authorities/names/n94028779,http://en.wikipedia.org/wiki/Paul_Wayland_Bartlett,,,,,,,,,,http://n2t.net/ark:/99166/w6q54v0x
/agents/people/60629,"Bowyer, Robert, 1758-1834",http://id.loc.gov/authorities/names/n83301316,http://n2t.net/ark:/99166/w6mm481w,,,True,False,False,"['http://viaf.org/viaf/64275866', 'http://www.worldcat.org/wcidentities/lccn-n83301316', 'http://id.loc.gov/authorities/names/n83301316', 'http://en.wikipedia.org/wiki/Robert_Bowyer']",http://viaf.org/viaf/64275866,http://www.worldcat.org/wcidentities/lccn-n83301316,http://id.loc.gov/authorities/names/n83301316,http://en.wikipedia.org/wiki/Robert_Bowyer,,,,,,,,,,http://n2t.net/ark:/99166/w6mm481w
/agents/people/60775,"Ramsay, Allan, 1713-1784",http://id.loc.gov/authorities/names/n85011073,http://n2t.net/ark:/99166/w6c827d1,,,True,False,False,"['http://viaf.org/viaf/49266202', 'http://en.wikipedia.org/wiki/Allan_Ramsay_%28artist%29', 'http://www.worldcat.org/wcidentities/lccn-n85011073', 'http://id.loc.gov/authorities/names/n85011073']",http://viaf.org/viaf/49266202,http://en.wikipedia.org/wiki/Allan_Ramsay_%28artist%29,http://www.worldcat.org/wcidentities/lccn-n85011073,http://id.loc.gov/authorities/names/n85011073,,,,,,,,,,http://n2t.net/ark:/99166/w6c827d1
/agents/people/60806,"Milnes, Richard Monckton, Baron Houghton, 1809-1885",http://id.loc.gov/authorities/names/n83180337,http://n2t.net/ark:/99166/w62n5bbh,,,True,False,False,"['http://viaf.org/viaf/120711335', 'http://www.worldcat.org/wcidentities/lccn-n83180337', 'http://id.loc.gov/authorities/names/n83180337', 'http://en.wikipedia.org/wiki/Richard_Monckton_Milnes%2C_1st_Baron_Houghton']",http://viaf.org/viaf/120711335,http://www.worldcat.org/wcidentities/lccn-n83180337,http://id.loc.gov/authorities/names/n83180337,http://en.wikipedia.org/wiki/Richard_Monckton_Milnes%2C_1st_Baron_Houghton,,,,,,,,,,http://n2t.net/ark:/99166/w62n5bbh
/agents/people/61114,"Wilbur, George W. (George Willis), 1851-1931",http://id.loc.gov/authorities/names/nr00034123,http://n2t.net/ark:/99166/w6z93gt9,,,True,False,False,"['http://viaf.org/viaf/17064503', 'http://www.worldcat.org/wcidentities/lccn-nr00034123', 'http://id.loc.gov/authorities/names/nr00034123']",http://viaf.org/viaf/17064503,http://www.worldcat.org/wcidentities/lccn-nr00034123,http://id.loc.gov/authorities/names/nr00034123,,,,,,,,,,,http://n2t.net/ark:/99166/w6z93gt9
/agents/people/61814,"Pratt, Lawrence",http://id.loc.gov/authorities/names/no99020409,http://n2t.net/ark:/99166/w6hh74tq,,,True,False,False,"['http://viaf.org/viaf/13391929', 'http://www.worldcat.org/wcidentities/lccn-no99020409', 'http://id.loc.gov/authorities/names/no99020409']",http://viaf.org/viaf/13391929,http://www.worldcat.org/wcidentities/lccn-no99020409,http://id.loc.gov/authorities/names/no99020409,,,,,,,,,,,http://n2t.net/ark:/99166/w6hh74tq
